EX,ID,LIST
An account was logged off. Subject: Security ID:  ANONYMOUS LOGON Account Name:  ANONYMOUS LOGON Account Domain:  NT AUTHORITY Logon ID:  0x149be Logon Type: 3 ,4634,"['An account was logged off.', 'Subject:', 'Security ID:  ANONYMOUS LOGON', 'Account Name:  ANONYMOUS LOGON', 'Account Domain:  NT AUTHORITY', 'Logon ID:  0x149be', 'Logon Type: 3']"
,4646,['']
User initiated logoff: Subject: Security ID: WIN-R9H529RIO4Y\Administrator Account Name: Administrator Account Domain: WIN-R9H529RIO4Y Logon ID: 0x19f4c  ,4647,"['User initiated logoff:', 'Subject:', 'Security ID: WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\Administrator', 'Account Name: Administrator', 'Account Domain: WIN-R9H529RIO4Y', 'Logon ID: 0x19f4c']"
A logon was attempted using explicit credentials. Subject: Security ID:  WIN-R9H529RIO4Y\Administrator Account Name:  Administrator Account Domain:  WIN-R9H529RIO4Y Logon ID:  0x1ba0e Logon GUID:  {00000000-0000-0000-0000-000000000000} Account Whose Credentials Were Used: Account Name:  rsmith@mtg.com Account Domain:  WIN-R9H529RIO4Y Logon GUID:  {00000000-0000-0000-0000-000000000000} Target Server: Target Server Name: sp01.IceMAIL.com Additional Information: sp01.IceMAIL.com Process Information: Process ID:  0x77c Process Name:  C:\Program Files\Internet Explorer\iexplore.exe Network Information: Network Address: - Port:  -  ,4648,"['A logon was attempted using explicit credentials.', 'Subject:', 'Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  WIN-R9H529RIO4Y', 'Logon ID:  0x1ba0e', 'Logon GUID:  {00000000-0000-0000-0000-000000000000}', 'Account Whose Credentials Were Used:', 'Account Name:  rsmith@mtg.com', 'Account Domain:  WIN-R9H529RIO4Y', 'Logon GUID:  {00000000-0000-0000-0000-000000000000}', 'Target Server:', 'Target Server Name: sp01.IceMAIL.com', 'Additional Information: sp01.IceMAIL.com', 'Process Information:', 'Process ID:  0x77c', 'Process Name:  C:\\\\\\\\\\\\\\\\Program Files\\\\\\\\\\\\\\\\Internet Explorer\\\\\\\\\\\\\\\\iexplore.exe', 'Network Information:', 'Network Address: -', 'Port:  -']"
A replay attack was detected. Subject: Security ID:  %1 Account Name:  %2 Account Domain:  %3 Logon ID:  %4 Credentials Which Were Replayed: Account Name:  %5 Account Domain:  %6 Process Information: Process ID:  %12 Process Name:  %13 Network Information: Workstation Name: %10 Detailed Authentication Information: Request Type:  %7 Logon Process:  %8 Authentication Package: %9 Transited Services: %11 This event indicates that a Kerberos replay attack was detected- a request was received twice with identical information. This condition could be caused by network misconfiguration. ,4649,"['A replay attack was detected.', 'Subject:', 'Security ID:  %1', 'Account Name:  %2', 'Account Domain:  %3', 'Logon ID:  %4', 'Credentials Which Were Replayed:', 'Account Name:  %5', 'Account Domain:  %6', 'Process Information:', 'Process ID:  %12', 'Process Name:  %13', 'Network Information:', 'Workstation Name: %10', 'Detailed Authentication Information:', 'Request Type:  %7', 'Logon Process:  %8', 'Authentication Package: %9', 'Transited Services: %11']"
An IPsec Main Mode security association was established. Extended Mode was not enabled. Certificate authentication was not used. Local Endpoint: Principal Name:  jsmith@srv1.dmn Network Address: 10.40.1.123 Keying Module Port: 500 Remote Endpoint: Principal Name:  DMN/SRV2$ Network Address: 10.40.1.101 Keying Module Port: 500 Security Association Information: Lifetime (minutes): 480 Quick Mode Limit:  0 Main Mode SA ID: 9 Cryptographic Information: Cipher Algorithm: 3DES Integrity Algorithm:  SHA1 Diffie-Hellman Group:  DH group 2 Additional Information: Keying Module Name:  IKEv1 Authentication Method: Kerberos Role: Responder Impersonation State:  Not enabled Main Mode Filter ID:  71695 ,4650,"['An IPsec Main Mode security association was established. Extended Mode was not enabled. Certificate authentication was not used.', 'Local Endpoint:', 'Principal Name:  jsmith@srv1.dmn', 'Network Address: 10.40.1.123', 'Keying Module Port: 500', 'Remote Endpoint:', 'Principal Name:  DMN/SRV2$', 'Network Address: 10.40.1.101', 'Keying Module Port: 500', 'Security Association Information:', 'Lifetime (minutes): 480', 'Quick Mode Limit:  0', 'Main Mode SA ID: 9', 'Cryptographic Information:', 'Cipher Algorithm: 3DES', 'Integrity Algorithm:  SHA1', 'Diffie-Hellman Group:  DH group 2', 'Additional Information:', 'Keying Module Name:  IKEv1', 'Authentication Method: Kerberos', 'Role: Responder', 'Impersonation State:  Not enabled', 'Main Mode Filter ID:  71695']"
An IPsec Main Mode security association was established. Extended Mode was not enabled. A certificate was used for authentication. Local Endpoint: Principal Name: %1 Network Address: %9 Keying Module Port: %10 Local Certificate: SHA Thumbprint: %2 Issuing CA:  %3 Root CA:  %4 Remote Endpoint: Principal Name: %5 Network Address: %11 Keying Module Port: %12 Remote Certificate: SHA thumbprint:  %6 Issuing CA:  %7 Root CA:  %8 Cryptographic Information: Cipher Algorithm: %15 Integrity Algorithm: %16 Diffie-Hellman Group: %17 Security Association Information: Lifetime (minutes): %18 Quick Mode Limit: %19 Main Mode SA ID: %23 Additional Information: Keying Module Name: %13 Authentication Method: %14 Role: %20 Impersonation State: %21 Main Mode Filter ID: %22 ,4651,"['An IPsec Main Mode security association was established. Extended Mode was not enabled. A certificate was used for authentication.', 'Local Endpoint:', 'Principal Name: %1', 'Network Address: %9', 'Keying Module Port: %10', 'Local Certificate:', 'SHA Thumbprint: %2', 'Issuing CA:  %3', 'Root CA:  %4', 'Remote Endpoint:', 'Principal Name: %5', 'Network Address: %11', 'Keying Module Port: %12', 'Remote Certificate:', 'SHA thumbprint:  %6', 'Issuing CA:  %7', 'Root CA:  %8', 'Cryptographic Information:', 'Cipher Algorithm: %15', 'Integrity Algorithm: %16', 'Diffie-Hellman Group: %17', 'Security Association Information:', 'Lifetime (minutes): %18', 'Quick Mode Limit: %19', 'Main Mode SA ID: %23', 'Additional Information:', 'Keying Module Name: %13', 'Authentication Method: %14', 'Role: %20', 'Impersonation State: %21', 'Main Mode Filter ID: %22']"
An IPsec Main Mode negotiation failed. Local Endpoint: Principal Name:  %1 Network Address: %9 Keying Module Port: %10 Local Certificate: SHA Thumbprint: %2 Issuing CA:  %3 Root CA:  %4 Remote Endpoint: Principal Name:  %5 Network Address: %11 Keying Module Port: %12 Remote Certificate: SHA thumbprint:  %6 Issuing CA:  %7 Root CA:  %8 Additional Information: Keying Module Name: %13 Authentication Method: %16 Role:  %18 Impersonation State: %19 Main Mode Filter ID: %20 Failure Information: Failure Point:  %14 Failure Reason:  %15 State:  %17 Initiator Cookie:  %21 Responder Cookie: %22 ,4652,"['An IPsec Main Mode negotiation failed.', 'Local Endpoint:', 'Principal Name:  %1', 'Network Address: %9', 'Keying Module Port: %10', 'Local Certificate:', 'SHA Thumbprint: %2', 'Issuing CA:  %3', 'Root CA:  %4', 'Remote Endpoint:', 'Principal Name:  %5', 'Network Address: %11', 'Keying Module Port: %12', 'Remote Certificate:', 'SHA thumbprint:  %6', 'Issuing CA:  %7', 'Root CA:  %8', 'Additional Information:', 'Keying Module Name: %13', 'Authentication Method: %16', 'Role:  %18', 'Impersonation State: %19', 'Main Mode Filter ID: %20', 'Failure Information:', 'Failure Point:  %14', 'Failure Reason:  %15', 'State:  %17', 'Initiator Cookie:  %21', 'Responder Cookie: %22']"
An IPsec Main Mode negotiation failed. Local Endpoint: Local Principal Name: %1 Network Address: %3 Keying Module Port: %4 Remote Endpoint: Principal Name:  %2 Network Address: %5 Keying Module Port: %6 Additional Information: Keying Module Name: %7 Authentication Method: %10 Role:  %12 Impersonation State: %13 Main Mode Filter ID: %14 Failure Information: Failure Point:  %8 Failure Reason:  %9 State:  %11 Initiator Cookie:  %15 Responder Cookie: %16 ,4653,"['An IPsec Main Mode negotiation failed.', 'Local Endpoint:', 'Local Principal Name: %1', 'Network Address: %3', 'Keying Module Port: %4', 'Remote Endpoint:', 'Principal Name:  %2', 'Network Address: %5', 'Keying Module Port: %6', 'Additional Information:', 'Keying Module Name: %7', 'Authentication Method: %10', 'Role:  %12', 'Impersonation State: %13', 'Main Mode Filter ID: %14', 'Failure Information:', 'Failure Point:  %8', 'Failure Reason:  %9', 'State:  %11', 'Initiator Cookie:  %15', 'Responder Cookie: %16']"
An IPsec Quick Mode negotiation failed. Local Endpoint: Network Address: %1 Network Address mask: %2 Port:  %3 Tunnel Endpoint:  %4 Remote Endpoint: Network Address: %5 Address Mask:  %6 Port:  %7 Tunnel Endpoint:  %8 Private Address:  %10 Additional Information: Protocol:  %9 Keying Module Name: %11 Mode:  %14 Role:  %16 Quick Mode Filter ID: %18 Main Mode SA ID: %19 Failure Information: State:  %15 Message ID:  %17 Failure Point:  %12 Failure Reason:  %13 ,4654,"['An IPsec Quick Mode negotiation failed.', 'Local Endpoint:', 'Network Address: %1', 'Network Address mask: %2', 'Port:  %3', 'Tunnel Endpoint:  %4', 'Remote Endpoint:', 'Network Address: %5', 'Address Mask:  %6', 'Port:  %7', 'Tunnel Endpoint:  %8', 'Private Address:  %10', 'Additional Information:', 'Protocol:  %9', 'Keying Module Name: %11', 'Mode:  %14', 'Role:  %16', 'Quick Mode Filter ID: %18', 'Main Mode SA ID: %19', 'Failure Information:', 'State:  %15', 'Message ID:  %17', 'Failure Point:  %12', 'Failure Reason:  %13']"
An IPsec Main Mode security association ended. Local Network Address:  10.40.1.123 Remote Network Address: 10.40.1.101 Keying Module Name:  IKEv1 Main Mode SA ID:  88  ,4655,"['An IPsec Main Mode security association ended.', 'Local Network Address:  10.40.1.123', 'Remote Network Address: 10.40.1.101', 'Keying Module Name:  IKEv1', 'Main Mode SA ID:  88']"
File example: A handle to an object was requested. Subject: Security ID:  WIN-R9H529RIO4Y\Administrator Account Name:  Administrator Account Domain:  WIN-R9H529RIO4Y Logon ID:  0x1fd23 Object: Object Server:  Security Object Type:  File Object Name:  C:\Users\Administrator\testfolder\New Text Document.txt Handle ID:  0xb8 Process Information: Process ID:  0xed0 Process Name:  C:\Windows\System32\notepad.exe Access Request Information: Transaction ID:  {00000000-0000-0000-0000-000000000000} Accesses:  READ_CONTROL SYNCHRONIZE ReadData (or ListDirectory) ReadEA ReadAttributes Access Mask:  0x120089 Privileges Used for Access Check: - Restricted SID Count: 0 ,4656,"['File example:', 'A handle to an object was requested.', 'Subject:', 'Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  WIN-R9H529RIO4Y', 'Logon ID:  0x1fd23', 'Object:', 'Object Server:  Security', 'Object Type:  File', 'Object Name:  C:\\\\\\\\\\\\\\\\Users\\\\\\\\\\\\\\\\Administrator\\\\\\\\\\\\\\\\testfolder\\\\\\\\\\\\\\\\New Text Document.txt', 'Handle ID:  0xb8', 'Process Information:', 'Process ID:  0xed0', 'Process Name:  C:\\\\\\\\\\\\\\\\Windows\\\\\\\\\\\\\\\\System32\\\\\\\\\\\\\\\\notepad.exe', 'Access Request Information:', 'Transaction ID:  {00000000-0000-0000-0000-000000000000}', 'Accesses:  READ_CONTROL', 'SYNCHRONIZE', 'ReadData (or ListDirectory)', 'ReadEA', 'ReadAttributes Access Mask:  0x120089', 'Privileges Used for Access Check: -', 'Restricted SID Count: 0']"
New Value Example: A registry value was modified. Subject: Security ID:  ACME\administrator Account Name:  administrator Account Domain:  ACME Logon ID:  0x176293 Object: Object Name:  \REGISTRY\MACHINE\SOFTWARE\MTG Object Value Name: Path Handle ID:  0x124 Operation Type:  New registry value created Process Information: Process ID:  0x8d4 Process Name:  C:\Windows\regedit.exe Change Information: Old Value Type:  - Old Value:  - New Value Type:  REG_SZ New Value:  Value modified:  ,4657,"['New Value Example:', 'A registry value was modified.', 'Subject:', 'Security ID:  ACME\\\\\\\\\\\\\\\\administrator', 'Account Name:  administrator', 'Account Domain:  ACME', 'Logon ID:  0x176293', 'Object:', 'Object Name:  \\\\\\\\\\\\\\\\REGISTRY\\\\\\\\\\\\\\\\MACHINE\\\\\\\\\\\\\\\\SOFTWARE\\\\\\\\\\\\\\\\MTG', 'Object Value Name: Path', 'Handle ID:  0x124', 'Operation Type:  New registry value created', 'Process Information:', 'Process ID:  0x8d4', 'Process Name:  C:\\\\\\\\\\\\\\\\Windows\\\\\\\\\\\\\\\\regedit.exe', 'Change Information:', 'Old Value Type:  -', 'Old Value:  -', 'New Value Type:  REG_SZ', 'New Value: ']"
The handle to an object was closed. Subject : Security ID:  WIN-R9H529RIO4Y\Administrator Account Name:  Administrator Account Domain:  WIN-R9H529RIO4Y Logon ID:  0x1fd23 Object: Object Server:  Security Handle ID:  0xb8 Process Information: Process ID:  0xed0 Process Name:  C:\Windows\System32\notepad.exe ,4658,"['The handle to an object was closed.', 'Subject :', 'Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  WIN-R9H529RIO4Y', 'Logon ID:  0x1fd23', 'Object:', 'Object Server:  Security', 'Handle ID:  0xb8', 'Process Information:', 'Process ID:  0xed0', 'Process Name:  C:\\\\\\\\\\\\\\\\Windows\\\\\\\\\\\\\\\\System32\\\\\\\\\\\\\\\\notepad.exe']"
A handle to an object was requested with intent to delete. Subject: Security ID:  %1 Account Name:  %2 Account Domain:  %3 Logon ID:  %4 Object: Object Server: %5 Object Type: %6 Object Name: %7 Handle ID: %8 Process Information: Process ID: %13 Access Request Information: Transaction ID: %9 Accesses: %10 Access Mask: %11 Privileges Used for Access Check: %12 ,4659,"['A handle to an object was requested with intent to delete.', 'Subject:', 'Security ID:  %1', 'Account Name:  %2', 'Account Domain:  %3', 'Logon ID:  %4', 'Object:', 'Object Server: %5', 'Object Type: %6', 'Object Name: %7', 'Handle ID: %8', 'Process Information:', 'Process ID: %13', 'Access Request Information:', 'Transaction ID: %9', 'Accesses: %10', 'Access Mask: %11', 'Privileges Used for Access Check: %12']"
An object was deleted. Subject: Security ID:  WIN-R9H529RIO4Y\Administrator Account Name:  Administrator Account Domain:  WIN-R9H529RIO4Y Logon ID:  0x1fd23 Object: Object Server: Security Handle ID: 0x40 Process Information: Process ID: 0xc34 Process Name: C:\Windows\System32\cmd.exe Transaction ID: {00000000-0000-0000-0000-000000000000} ,4660,"['An object was deleted.', 'Subject:', 'Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  WIN-R9H529RIO4Y', 'Logon ID:  0x1fd23', 'Object:', 'Object Server: Security', 'Handle ID: 0x40', 'Process Information:', 'Process ID: 0xc34', 'Process Name: C:\\\\\\\\\\\\\\\\Windows\\\\\\\\\\\\\\\\System32\\\\\\\\\\\\\\\\cmd.exe', 'Transaction ID: {00000000-0000-0000-0000-000000000000}']"
